Num_Sets,Num_Blocks,Bytes_in_Block,Write_Policy,Write_Through_or_Back,Eviction_Policy,Total_Loads,Total_Stores,Load_Hits,Load_Misses,Store_Hits,Store_Misses,Total_Cycles
1,1024,4,write-allocate,write-back,lru,318197,197486,311470,6727,169182,28304,6957583
2,512,4,write-allocate,write-back,lru,318197,197486,310396,7801,168753,28733,7145683
8,128,4,write-allocate,write-back,lru,318197,197486,310411,7786,168739,28747,7146083
4,256,4,write-allocate,write-back,lru,318197,197486,310398,7799,168741,28745,7146983
32,32,4,write-allocate,write-back,lru,318197,197486,310403,7794,168743,28743,7146983
64,16,4,write-allocate,write-back,lru,318197,197486,310357,7840,168761,28725,7151783
16,64,4,write-allocate,write-back,lru,318197,197486,310396,7801,168720,28766,7152683
128,8,4,write-allocate,write-back,lru,318197,197486,310361,7836,168757,28729,7159183
256,4,4,write-allocate,write-back,lru,318197,197486,310247,7950,168688,28798,7187283
1,1024,4,write-allocate,write-back,fifo,318197,197486,309873,8324,168531,28955,7318083
512,2,4,write-allocate,write-back,lru,318197,197486,308752,9445,168255,29231,7465283
32,32,4,write-allocate,write-back,fifo,318197,197486,308380,9817,167820,29666,7613083
128,8,4,write-allocate,write-back,fifo,318197,197486,308413,9784,167845,29641,7613383
64,16,4,write-allocate,write-back,fifo,318197,197486,308388,9809,167812,29674,7615383
4,256,4,write-allocate,write-back,fifo,318197,197486,308428,9769,167748,29738,7619583
16,64,4,write-allocate,write-back,fifo,318197,197486,308354,9843,167799,29687,7621483
8,128,4,write-allocate,write-back,fifo,318197,197486,308397,9800,167758,29728,7623283
2,512,4,write-allocate,write-back,fifo,318197,197486,308363,9834,167731,29755,7633683
256,4,4,write-allocate,write-back,fifo,318197,197486,308203,9994,167708,29778,7668383
512,2,4,write-allocate,write-back,fifo,318197,197486,307304,10893,167490,29996,7824583
1024,1,4,write-allocate,write-back,lru,318197,197486,298686,19511,165874,31612,9233383
1024,1,4,write-allocate,write-back,fifo,318197,197486,298686,19511,165874,31612,9233383
4,128,8,write-allocate,write-back,lru,318197,197486,311164,7033,178740,18746,9632883
1,512,8,write-allocate,write-back,lru,318197,197486,311147,7050,178747,18739,9633483
2,256,8,write-allocate,write-back,lru,318197,197486,311147,7050,178737,18749,9637283
16,32,8,write-allocate,write-back,lru,318197,197486,311150,7047,178735,18751,9639083
8,64,8,write-allocate,write-back,lru,318197,197486,311155,7042,178725,18761,9641683
32,16,8,write-allocate,write-back,lru,318197,197486,311104,7093,178753,18733,9647083
64,8,8,write-allocate,write-back,lru,318197,197486,311066,7131,178746,18740,9674483
128,4,8,write-allocate,write-back,lru,318197,197486,310895,7302,178685,18801,9738283
256,2,8,write-allocate,write-back,lru,318197,197486,309312,8885,178235,19251,10329883
1,512,8,write-allocate,write-back,fifo,318197,197486,309041,9156,177819,19667,10589883
32,16,8,write-allocate,write-back,fifo,318197,197486,309004,9193,177805,19681,10610283
64,8,8,write-allocate,write-back,fifo,318197,197486,309024,9173,177819,19667,10613883
16,32,8,write-allocate,write-back,fifo,318197,197486,309008,9189,177771,19715,10617083
8,64,8,write-allocate,write-back,fifo,318197,197486,308980,9217,177780,19706,10623083
4,128,8,write-allocate,write-back,fifo,318197,197486,309027,9170,177727,19759,10631083
2,256,8,write-allocate,write-back,fifo,318197,197486,308996,9201,177696,19790,10647683
128,4,8,write-allocate,write-back,fifo,318197,197486,308755,9442,177683,19803,10734483
4,64,16,write-allocate,write-back,lru,318197,197486,313131,5066,187662,9824,10792883
2,128,16,write-allocate,write-back,lru,318197,197486,313131,5066,187657,9829,10795683
1,256,16,write-allocate,write-back,lru,318197,197486,313123,5074,187653,9833,10802483
8,32,16,write-allocate,write-back,lru,318197,197486,313089,5108,187656,9830,10818083
16,16,16,write-allocate,write-back,lru,318197,197486,312951,5246,187632,9854,10908883
256,2,8,write-allocate,write-back,fifo,318197,197486,307870,10327,177443,20043,11056683
32,8,16,write-allocate,write-back,lru,318197,197486,312665,5532,187617,9869,11068483
64,4,16,write-allocate,write-back,lru,318197,197486,312099,6098,187526,9960,11414883
2,128,16,write-allocate,write-back,fifo,318197,197486,311019,7178,187010,10476,12444083
1,256,16,write-allocate,write-back,fifo,318197,197486,311025,7172,186977,10509,12461283
8,32,16,write-allocate,write-back,fifo,318197,197486,310993,7204,187001,10485,12464083
